payx,0.036,0.408,0.556,15380339,466246,1.446255106,0.183445853,0.068442996,0.708183924,0.395011583,0.343428663,0.119598461,0.71387389,0,-495.84,0.196867826,0.304763114,9.345492289,0.901811745,1.450098143,170283.6879,28.52,23.89,3.45,3.04,0.2762,0.1126,0.4692,0.2762,0.091,0.17,73.08,67.63,0.64,13.3,0.019841384,1.75,0,0,33.06,27,-12,0.09,0.8,1,,2.943780749
ayi,0.066,0.368,0.566,13756541,3147,4.383643123,1.466171004,0.614423792,0.437213259,0.135083402,0.345928925,0.098643148,0.43697422,0,-15.1981982,0.26835895,0.105034485,12.2901419,0.757882557,15.09606987,8727.594042,19.92,16.28,1.84,0.32,0.0928,0.1093,0.2117,0.0928,0.059,-0.112,150.39,133.16,2.17,4.9,-0.002658866,0,0,0,12.74,45,-15,0.09,0.8,1,,18.27363636
cost,0.03,0.424,0.545,3184525,0,2.129245586,0.384012841,0.303627608,0.133238993,0.030483747,0.343465046,0.070862105,0.628139794,0,-27.60902256,0.1580337,0.027729344,6.965851083,0.195321993,4.412868633,118887.6851,34.24,30.17,2.7,0.98,0.0216,0.0745,0.2702,0.0216,0.121,0.071,231.13,208.17,2.18,3,0.042015802,1.77,9.71,-6.52,16.23,22,-14,0.09,0.8,1,,
jpm,0.033,0.415,0.552,28738943,96327,1.279056763,0.308295683,0.308295683,0,0.382428826,0.283848738,0.009929056,0.897955497,0,0,0.009029043,0.223637149,6.390701295,0,2.382727702,293290.7348,15.46,11.56,1.94,2.78,0.2814,0.0109,0.1085,0.2814,0.112,0.183,114.92,111.57,2.16,6.7,0.029726878,1.81,71.58,-20.16,91.74,21,-3,0.09,0.8,1,,
pnc,0.044,0.328,0.629,13376803,216415,1.386694725,0.020778851,0.020778847,0,0.356643357,0.241385875,0.010652874,0.872116382,0,0,0.011376226,0.246792043,14729000,0,2.862204724,39386.71579,12.08,11.93,1.1,2.74,0.3519,0.0154,0.1248,0.3519,0.071,0.238,142.22,144.54,2.67,1.4,0.044137591,1.93,22.65,-69.1,91.74,6,-15,0.09,0.8,1,,40.06042781
c,0.041,0.374,0.585,49210694,4687,1.378919595,0.322704105,0.300476907,0,0.340224313,0.300041905,0.008321071,0.873809552,0,0,0.034440787,0.854354782,63126000,0.948898613,23.58198513,749576.0945,0,9.65,0.85,2.48,-0.0871,-0.0029,-0.0254,-0.0871,0.011,0.16,71.37,69.82,1.59,7.6,0.022451225,1.81,71.58,-20.16,91.74,22,-3,0.09,0.8,1,,
wba,0.055,0.416,0.529,16015643,160470,4.272497502,0.944395521,0.576441603,0.254569624,0.044209253,0.192174248,0.057409751,0.583411292,0,-11.15172414,0.185040206,0.066867773,8.186327171,0.831145661,5.020473448,280751.3417,17.36,11.43,1.06,2.41,0.0336,0.0594,0.1442,0.0336,0.14,0.155,70.24,66.24,1.36,8.3,0.038287701,2.04,1.8,-14.43,16.23,33,-4,0.09,0.8,1,,866894.5548
wfc,0.107,0.291,0.602,797783,0,1.31539348,0.204433362,0.183268374,0,0.379933997,0.313667497,0.011366162,0.896121734,0,0,9.77E-05,0.00199903,4.589132559,1.000005917,0.018698827,4515.094844,13.41,10.15,1.26,3.24,0.2458,0.0113,0.1042,0.2458,-0.027,-0.114,56.62,55.12,1.12,-18.4,0.062458361,2.16,25.76,-65.99,91.74,5,-21,0.09,0.8,1,,0.629768563
cma,0.039,0.412,0.548,14456395,640,1.210569969,0.111140634,0.111140618,1,0.257692308,0.288059701,0.006536216,0.893173285,0,1,0.007701513,0.193076923,5.189620758,0.810756972,3.302631579,10619.84345,15.85,10.64,0.43,2.8,0.2901,0.0132,0.1177,0.2901,0.142,0.606,93.74,95.2,1.69,5,-0.07948707,2.58,0,0,91.74,14,-17,0.09,0.8,1,,
gs,0.123,0.413,0.464,452,0,1.90896219,1.751780432,1.476978116,0.890094093,0.336644015,0.282026398,0.008600675,0.89839275,0,1,0.008928964,0.22543126,2.535874068,0.583188406,4.044548652,34582.9992,17.08,8.47,0.28,1.5,0.1572,0.006,0.0639,0.1572,0.192,0.401,230.26,234.82,4.95,20.4,-0.058586485,1.76,-37.82,-76.7,38.87,0,-22,0.09,0.8,1,,
jnj,0.073,0.367,0.56,2806099,652,5.371780728,2.039258949,1.594210066,0.69898456,0.275462512,0.164773014,0.117132174,0.501317206,0,-29.21487603,0.265108066,0.261051607,4.517973856,0.82810252,2.176893632,800298.5075,266.14,15.51,2.19,2.69,0.017,0.08,0.0204,0.017,0.106,0.033,138.03,129.45,1.97,5.6,-0.061028657,2.08,2.57,-6.31,8.88,13,-10,0.09,0.8,1,,
ms,0.073,0.359,0.568,10309248,0,1.479651253,0.745440483,0.514164689,0.892957177,0.255493633,0.308092224,0.007336655,0.905298368,0,1,0.003316743,0.070659236,34631000,0.478545157,1.401489118,60644.36183,11.06,8.47,0.58,2.76,0.1864,0.0089,0.095,0.1864,0.116,0.387,47.72,50.26,0.96,14.8,-0.067319269,2.3,0,0,38.87,-2,-27,0.09,0.8,1,,
